TARGET_ID	INDIVIDUALS	STRATA
MBB_1575	MBB_1575	Western Cape
MBB_1576	MBB_1576	Western Cape
MBB_1577	MBB_1577	Western Cape
MBB_1578	MBB_1578	Western Cape
MBB_1579	MBB_1579	Western Cape
MBB_1580	MBB_1580	Western Cape
MBB_1581	MBB_1581	Western Cape
MBB_1582	MBB_1582	Western Cape
MBB_1583	MBB_1583	Western Cape
MBB_1584	MBB_1584	Western Cape
MBB_1585	MBB_1585	Western Cape
MBB_1586	MBB_1586	Western Cape
MBB_1587	MBB_1587	Western Cape
MBB_1588	MBB_1588	Western Cape
MBB_1589	MBB_1589	Western Cape
MBB_1590	MBB_1590	Western Cape
MBB_1591	MBB_1591	Western Cape
MBB_1592	MBB_1592	Western Cape
MBB_1424	MBB_1424	Sth_West_Aus
MBB_1425	MBB_1425	Sth_West_Aus
MBB_1426	MBB_1426	Sth_West_Aus
MBB_1553	MBB_1553	Sth_West_Aus
MBB_1554	MBB_1554	Sth_West_Aus
MBB_1555	MBB_1555	Sth_West_Aus
MBB_1557	MBB_1557	Sth_West_Aus
MBB_1564	MBB_1564	Sth_West_Aus
MBB_1568	MBB_1568	Sth_West_Aus
MBB_1572	MBB_1572	Sth_West_Aus
MBB_1597	MBB_1597	Sth_West_Aus
MBB_1610	MBB_1610	Sth_West_Aus
MBB_1574_Dup	MBB_1574_Dup	Western Cape
